"oy_0.9","oy_0.8","oy_0.7","or_0.9","or_0.8","or_0.7","of_0.9","of_0.8","of_0.7","escapement"
0,0,0,0.000333,0.0005,0.0005,0,0,0,1410000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1415000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1420000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1425000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1430000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1435000
0,0,0,0.000333,0.0005,0.0005,0,0,0,1440000
0,0,0,0.000333,0.000417,0.0005,0,0,0,1445000
0,0,0,0.000333,0.000417,0.0005,0,0,0,1450000
0,0,0,0.00025,0.000417,0.0005,0,0,0,1455000
0,0,0,0.00025,0.000417,0.0005,0,0,0,1460000
0,0,0,0.00025,0.000333,0.0005,0,0,0,1465000
0,0,0,0.00025,0.000333,0.0005,0,0,0,1470000
0,0,0,0.00025,0.000333,0.0005,0,0,0,1475000
0,0,0,0.00025,0.000333,0.0005,0,0,0,1480000
0,0,0,0.000167,0.000333,0.0005,0,0,0,1485000
0,0,0,0.000167,0.000333,0.0005,0,0,0,1490000
0,0,0,0.000167,0.000333,0.0005,0,0,0,1495000
0,0,0,0.000167,0.000333,0.0005,0,0,0,1500000
0,0,0,0.000167,0.000333,0.0005,0,0,0,1505000
0,0,0,0.000167,0.000333,0.0005,0,0,0,1510000
0,0,0,0.000167,0.000333,0.0005,0,0,0,1515000
0,0,0,0.000167,0.00025,0.0005,0,0,0,1520000
0,0,0,0.000167,0.00025,0.0005,0,0,0,1525000
0,0,0,0.000167,0.00025,0.0005,0,0,0,1530000
0,0,0,0.000167,0.00025,0.0005,0,0,0,1535000
0,0,0,0.000167,0.00025,0.0005,0,0,0,1540000
0,0,0,0.000167,0.00025,0.000417,0,0,0,1545000
0,0,0,0.000167,0.00025,0.000417,0,0,0,1550000
0,0,0,0.000167,0.00025,0.000417,0,0,0,1555000
0,0,0,0.000167,0.00025,0.000333,0,0,0,1560000
0,0,0,0.000167,0.00025,0.000333,0,0,0,1565000
0,0,0,0.000167,0.00025,0.000333,0,0,0,1570000
0,0,0,0.000167,0.00025,0.000333,0,0,0,1575000
0,0,0,0.000167,0.00025,0.000333,0,0,0,1580000
0,0,0,0.000167,0.000167,0.000333,0,0,0,1585000
0,0,0,0.000167,0.000167,0.000333,0,0,0,1590000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1595000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1600000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1605000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1610000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1615000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1620000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1625000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1630000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1635000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1640000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1645000
0,0,0,0.000167,0.000167,0.00025,0,0,0,1650000
0,0,0,0.000083,0.000167,0.00025,0,0,0,1655000
0,0,0,0.000083,0.000167,0.00025,0,0,0,1660000
0,0,0,0.000083,0.000167,0.00025,0,0,0,1665000
0,0,0,0.000083,0.000167,0.00025,0,0,0,1670000
0,0,0,0.000083,0.000167,0.00025,0,0,0,1675000
0,0,0,0.000083,0.000167,0.00025,0,0,0,1680000
0,0,0,0.000083,0.000167,0.00025,0,0,0,1685000
0,0,0,0.000083,0.000167,0.00025,0,0,0,1690000
0,0,0,0.000083,0.000167,0.000167,0,0,0,1695000
0,0,0,0.000083,0.000167,0.000167,0,0,0,1700000
0,0,0,0.000083,0.000167,0.000167,0,0,0,1705000
0,0,0,0.000083,0.000167,0.000167,0,0,0,1710000
0,0,0,0.000083,0.000167,0.000167,0,0,0,1715000
0,0,0,0.000083,0.000167,0.000167,0,0,0,1720000
0,0,0,0.000083,0.000167,0.000167,0,0,0,1725000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1730000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1735000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1740000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1745000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1750000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1755000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1760000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1765000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1770000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1775000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1780000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1785000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1790000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1795000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1800000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1805000
0,0,0,0.000083,0.000083,0.000167,0,0,0,1810000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1815000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1820000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1825000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1830000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1835000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1840000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1845000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1850000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1855000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1860000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1865000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1870000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1875000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1880000
0,0,0,0.000083,0.000083,0.000083,0,0,0,1885000
