"","beta","lnalpha","lnalpha.c","Smsy_lambert","Umsy_lambert"
"2322100",5.7153210937679e-06,0.721952201755131,1.53108325799859,105717.681534752,0.604210495259807
"2322200",1.78199458639832e-05,1.51396047008525,1.93112375827264,39630.6132673164,0.706215382980031
"2322300",1.48104342569538e-05,1.67178213503905,2.0030957766301,48763.5340530426,0.722209115229315
"2322400",1.20727517365688e-05,2.01548837274177,2.43019934762876,66549.4813883389,0.803435366998823
"2322500",1.3870946806237e-05,1.83734885168807,2.39355006970679,57482.5494845749,0.797337386187426
"2322600",1.49109691055758e-05,2.01953428914922,2.39067291204264,53440.6626202681,0.796852069312318
"2322700",1.66216722824223e-05,1.30764010973583,1.85129151860562,41370.8386053208,0.687652521346628
"2322800",2.40239436514322e-05,2.49941163397542,2.83799686685492,35858.0920020992,0.861452781706301
"2322900",1.96681415241727e-05,1.87510084234992,2.31886356656208,39882.9553589703,0.784423610402488
"2323000",1.18510849858676e-05,1.29776829618023,1.67740219466579,54353.8106817093,0.644151629694697
"2323100",9.49466106057007e-06,1.56343736974165,1.87956125649643,73128.0239562868,0.694325801494191
"2323200",2.50609803388222e-05,2.44453253709314,2.88513436418209,34599.0239473027,0.867085458885791
"2323300",1.6309323745557e-05,2.20363584564016,2.41120992832614,49069.7938674162,0.80029515431144
"2323400",9.53127538660402e-06,0.855361007381889,1.6019093087725,65461.3145157311,0.623929815818532
"2323500",1.98312762487924e-05,1.7257787702834,2.58391586208152,41720.0248275825,0.827361337462267
"2323600",1.98687713453399e-05,2.15680832756492,2.65109997532237,42127.0789860773,0.837013299821442
"2323700",1.50037513989312e-05,1.68376057496474,2.09162228353072,49383.4670844815,0.740937263352861
"2323800",1.01318168599763e-05,1.26513904491015,1.99665312569676,71142.7903017681,0.720805722245211
"2323900",2.3215827991378e-05,1.70956026225464,2.23270185299483,33110.7246658251,0.768692888511673
"2324000",1.88624603927474e-05,2.7933976766987,3.39101617649309,48554.1598620601,0.915850917301236
"2324100",9.81435246867328e-06,1.6418514291503,2.02757401814135,74125.2028190241,0.727490867277798
"2324200",9.57256037188314e-06,1.17708377177208,1.58929917723272,64817.7761415948,0.620472075286624
"2324300",7.28015092324539e-06,1.17480240463503,1.62221866552752,86461.1855605856,0.629450479883789
"2324400",1.73686497837241e-05,2.20845762736394,2.66991265441835,48341.7843995008,0.839631523155226
"2324500",1.31810712007616e-05,1.39384462818124,1.61096211969821,47522.539205101,0.62639797290342
"2324600",6.95467541837326e-06,1.17019968918975,1.7045956808109,93640.0233159132,0.65123596833108
"2324700",1.18875991906306e-05,1.58994281516687,2.01216653532448,60918.5763538877,0.724175618958845
"2324800",1.54771450451105e-05,1.84046868847522,2.30089002470393,50475.5017580554,0.781216661934152
"2324900",1.21574638691851e-05,1.65603327579586,2.1518073044732,61944.433530523,0.753087212544475
"2325000",5.24292348779154e-06,0.928539519404616,1.48011354120415,112450.268321525,0.589568152991383
